Country_Name,Region,Image_URL,Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,Asia,https://public.flourish.studio/country-flags/svg/af.svg,AFG,0.5377778111,0.5488888956,0.5466666778,0.7511111911,0.8000000443999999,1.006666638,1.399999967,1.673333418,1.373333367,1.408888922,1.748886596,1.831108971,1.595555476,1.733333264,2.155555498,2.366666616,2.555555567,2.953333418,3.300000109,3.69794041,3.641723322,3.478787909,,,,,,,,,,,,,,,,,,,,,4.055179566,4.515558808,5.226778809,6.209137625,6.971285595,9.747879532,10.109305183,12.416161049,15.856678596,17.805113119,19.907317066,20.146404996,20.49712677,19.134211764,18.116562465,18.75346963,18.053228579,18.799450743,20.116137326
Albania,Europe,https://public.flourish.studio/country-flags/svg/al.svg,ALB,,,,,,,,,,,,,,,,,,,,,,,,,1.857338012,1.897050133,2.09732625,2.08079625,2.05123625,2.25309,2.02855375,1.099559028,0.6521749908,1.185315468,1.88095152,2.392764853,3.199641336,2.258513974,2.545964541,3.212121651,3.480355258,3.922100794,4.348068242,5.611496257,7.184685782,8.052073539,8.896072919,10.677324144,12.881353508,12.044208086,11.926922829,12.890764531,12.319830437,12.776220507,13.228147516,11.38685013,11.861199831,13.019689337,15.15643231,15.400242875,14.887629268
Algeria,Africa,https://public.flourish.studio/country-flags/svg/dz.svg,DZA,2.723593385,2.43472733,2.001428328,2.702960118,2.909292864,3.136258897,3.039834559,3.370843066,3.852115817,4.257218772,4.863487493,5.077222367,6.766766611,8.707847924,13.210029612,15.557934268,17.728347375,20.971901273,26.364491313,33.243422158,42.346380831,44.348672668,45.207088716,48.8013698,53.698278906,57.93786867,63.69223816,66.746396416,59.089067187,55.634414465,62.048562947,45.71561456,48.003078389,49.945599429,42.543178042,41.76431533,46.941582519,48.177612042,48.187747529,48.640653469,54.790392746,54.744712815,56.760355865,67.863828413,85.332581189,103.198,117.027,134.977,171.001,137.211,161.207,200.013,209.059,209.755,213.81,165.979,160.034,170.097,174.911,171.767,145.009
American Samoa,Oceania,https://public.flourish.studio/country-flags/svg/as.svg,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512,0.524,0.509,0.5,0.493,0.518,0.56,0.675,0.573,0.57,0.64,0.638,0.643,0.673,0.671,0.612,0.639,0.648,0.709
Andorra,Europe,https://public.flourish.studio/country-flags/svg/ad.svg,AND,,,,,,,,,,,0.07861920609,0.08940982036,0.1134082319,0.15082010280000002,0.18655869630000002,0.2201272464,0.2272810246,0.2540201533,0.3080088976,0.4115783342,0.4464161058,0.3889587313,0.37589595639999995,0.3278618329,0.3300706893,0.3467379648,0.482000594,0.6113163993999999,0.7214259392000001,0.7954493323999999,1.029048482,1.106928583,1.210013652,1.007025755,1.017549124,1.178738991,1.223945357,1.180597273,1.211932398,1.239876305,1.429049198,1.546926174,1.755910032,2.361726862,2.894921778,3.159905484,3.456442103,3.952600602,4.085630584,3.674409558,3.449966857,3.629203786,3.188808943,3.193704343,3.271808157,2.789870188,2.896679212,3.00018075,3.218316013,3.155065488,
Angola,Africa,https://public.flourish.studio/country-flags/svg/ao.svg,AGO,,,,,,,,,,,,,,,,,,,,,5.934073604,5.553824464,5.553824464,5.787823809,6.135166254,7.558613008,7.076793823,8.089279285,8.775116269,10.207922517,11.236275843,,,,3.3905,5.561222222,7.526963964,7.649716157,6.506619145,6.152936539,9.129634978,8.936063723,15.285594828,17.812705294,23.552052408,36.970918699,52.381006892,65.266452081,88.538611205,70.307163678,83.799496611,111.79,128.053,136.71,145.712,116.194,101.124,122.124,101.353,89.417190341,58.375976293
Antigua and Barbuda,Americas,https://public.flourish.studio/country-flags/svg/ag.svg,ATG,,,,,,,,,,,,,,,,,,0.0774967537,0.08787934148,0.1090799789,0.1314310267,0.1478417344,0.1643692789,0.182144093,0.20837284630000003,0.24092392480000002,0.2904401407,0.33717486189999996,0.3986377278,0.4387947885,0.4594703704,0.48170740739999995,0.4992814815,0.5351740741000001,0.5894296296,0.5772814815,0.6337296296,0.6806185185,0.7278592593,0.7662,0.8263703703999999,0.8004814815,0.8143814815,0.8563962962999999,0.9197296296,1.022962963,1.157662963,1.312759259,1.37007037,1.22832963,1.1487,1.137637037,1.199948148,1.181448148,1.249733333,1.336692593,1.436585185,1.467977778,1.605944444,1.687533333,1.370281481
Argentina,Americas,https://public.flourish.studio/country-flags/svg/ar.svg,ARG,,,24.450604878,18.272123664,25.605249382,28.344705967,28.630474728,24.256667553,26.436857247,31.256284544,31.584210366,33.293199095,34.733000536,52.544000117,72.436777342,52.438647922,51.169499891,56.781000101,58.082870156,69.252328953,76.961923742,78.676842366,84.307486837,103.979,79.092001998,88.4166689,110.934,111.106,126.207,76.636898036,141.352,189.72,228.789,236.742,257.44,258.032,272.15,292.859,298.948,283.523,284.204,268.697,97.724004252,127.587,164.658,198.737,232.557,287.531,361.558,332.976,423.627,530.163,545.982,552.025,526.32,594.749,557.531,643.629,524.82,451.932,389.288
Armenia,Asia,https://public.flourish.studio/country-flags/svg/am.svg,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.256838858,2.06987013,1.272835453,1.201312829,1.315158637,1.468317435,1.596968946,1.639492445,1.893726437,1.845482173,1.911563669,2.118467913,2.376335048,2.807061009,3.57661524,4.90046995,6.384451606,9.2063017,11.662040714,8.647936748,9.260284938,10.142111334,10.619320049,11.121465767,11.60951294,10.553337673,10.54613516,11.527458566,12.457941907,13.619291361,12.641209802
Aruba,Americas,https://public.flourish.studio/country-flags/svg/aw.svg,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4054634171,0.4876024577,0.5964236071,0.695304363,0.7648871172,0.8721387151000001,0.9584631844,1.082979721,1.245688268,1.32047486,1.379960894,1.531944134,1.665100559,1.722798883,1.873452514,1.920111732,1.941340782,2.02122905,2.22849162,2.330726257,2.424581006,2.615083799,2.745251397,2.498882682,2.390502793,2.54972067,2.534636872,2.727849721,2.790849162,2.962905028,2.983636872,3.092430168,3.202188607,,
