Region,variable,value
Africa,1960,31.152387259990004
Americas,1960,626.07712160683
Europe,1960,191.36382456989998
Oceania,1960,24.4354661211
Asia,1960,191.99800887589993
Africa,1961,32.04196864944001
Americas,1961,667.13311339335
Europe,1961,210.2489138707
Oceania,1961,25.7149392009
Asia,1961,189.6590911347
Africa,1962,34.273268743333
Americas,1962,740.69003613484
Europe,1962,232.91998759900002
Oceania,1962,26.3843104494
Asia,1962,198.02171184430003
Africa,1963,39.60707133231
Americas,1963,778.8222238337
Europe,1963,260.09801890089994
Oceania,1963,28.5842861351
Asia,1963,222.30710503080002
Africa,1964,39.154839187330005
Americas,1964,840.7135633609299
Europe,1964,289.3047321938
Oceania,1964,31.5205866832
Asia,1964,255.1124268945
Africa,1965,49.27717612283001
Americas,1965,912.98541394362
Europe,1965,316.1961080747001
Oceania,1965,32.4589899952
Asia,1965,283.91364644251007
Africa,1966,52.474626569159994
Americas,1966,1002.4568635704201
Europe,1966,356.54524477790005
Oceania,1966,34.095065506100006
Asia,1966,299.07313780918
Africa,1967,53.16457941272
Americas,1967,1056.32570027672
Europe,1967,387.3262243367
Oceania,1967,37.43659420863
Asia,1967,330.18231317979996
Africa,1968,57.101006959980005
Americas,1968,1152.72837959274
Europe,1968,414.5998255316
Oceania,1968,39.05288245786001
Asia,1968,369.9482569337
Africa,1969,64.69908642582999
Americas,1969,1253.6831597749201
Europe,1969,461.18934712440006
Oceania,1969,43.715746243699996
Asia,1969,421.7019892426
Africa,1970,76.01019769561
Americas,1970,1335.6254906089998
Europe,1970,706.60654365386
Oceania,1970,42.82977838484
Asia,1970,478.00340583779996
Africa,1971,78.4226512437
Americas,1971,1458.6992783532698
Europe,1971,799.1325145317602
Oceania,1971,54.8748463341
Asia,1971,527.8865300742
Africa,1972,89.69458260714
Americas,1972,1611.0439681958098
Europe,1972,964.0722937965
Oceania,1972,63.686380969599995
Asia,1972,637.9455067453999
Africa,1973,112.62472853784001
Americas,1973,1847.75129598648
Europe,1973,1248.047722326
Oceania,1973,79.43285193997002
Asia,1973,832.8827060076001
Africa,1974,144.29875066100996
Americas,1974,2083.21858297307
Europe,1974,1415.1070594120001
Oceania,1974,106.31141270895
Asia,1974,1014.3527890497002
Africa,1975,162.66611894306
Americas,1975,2254.77493538372
Europe,1975,1649.1801876444997
Oceania,1975,113.90508054019
Asia,1975,1113.8380149446998
Africa,1976,178.22736653195
Americas,1976,2514.36111632106
Europe,1976,1728.0651575953004
Oceania,1976,122.59708623007
Asia,1976,1238.8484098656998
Africa,1977,197.99272513856002
Americas,1977,2770.7235261013498
Europe,1977,1958.3418432854996
Oceania,1977,129.99196946038
Asia,1977,1479.0945047260004
Africa,1978,222.36324385511006
Americas,1978,3111.38156112555
Europe,1978,2381.7547603802
Oceania,1978,141.89308298309
Asia,1978,1818.7084860766
Africa,1979,269.13085882229996
Americas,1979,3512.49406329986
Europe,1979,2875.7684457921996
Oceania,1979,161.60568269365
Asia,1979,2042.2128134436002
Africa,1980,348.69692693247
Americas,1980,3911.4998625321196
Europe,1980,3363.9320131764002
Oceania,1980,179.96604502127005
Asia,1980,2257.61951261606
Africa,1981,454.3328799225501
Americas,1981,4404.7319748476
Europe,1981,2946.1419194338996
Oceania,1981,207.79951772818004
Asia,1981,2440.154709130249
Africa,1982,431.52256867213003
Americas,1982,4483.8565078517895
Europe,1982,2849.0010107038993
Oceania,1982,224.5892192923
Asia,1982,2379.5420140442807
Africa,1983,394.31606933855
Americas,1983,4698.934953477549
Europe,1983,2774.685431657801
Oceania,1983,208.14593246240008
Asia,1983,2532.869407625331
Africa,1984,364.0861003872099
Americas,1984,5117.5527749504
Europe,1984,2676.9055004467
Oceania,1984,221.75123778924
Asia,1984,2663.245061554601
Africa,1985,361.11691989995
Americas,1985,5459.3805845309
Europe,1985,2753.2302610454003
Oceania,1985,211.70928983449002
Asia,1985,2844.1740083428003
Africa,1986,383.13577169096
Americas,1986,5719.4622809822995
Europe,1986,3840.4542882726005
Oceania,1986,221.05726809751
Asia,1986,3577.053722205299
Africa,1987,423.34551534733
Americas,1987,6092.860604297
Europe,1987,4852.609953572399
Oceania,1987,238.83078430671998
Asia,1987,4063.3423002769996
Africa,1988,427.3085902594
Americas,1988,6643.2698609547
Europe,1988,5326.5489690412
Oceania,1988,291.58211064040006
Asia,1988,4738.366962143901
Africa,1989,427.66165526177997
Americas,1989,7133.9619360299
Europe,1989,5433.3579104284
Oceania,1989,354.0439594492499
Asia,1989,4862.807081138298
Africa,1990,509.977463615
Americas,1990,7662.9395398516
Europe,1990,6912.855823029
Oceania,1990,367.98677831361994
Asia,1990,5315.756166770001
Africa,1991,489.1432974901
Americas,1991,7955.651473157201
Europe,1991,7083.807191918
Oceania,1991,380.73307782759406
Asia,1991,5540.962981052199
Africa,1992,502.4244688188001
Americas,1992,8408.805783702799
Europe,1992,7840.032058031799
Oceania,1992,380.5965290853209
Asia,1992,6056.8781423377995
Africa,1993,496.8414976574
Americas,1993,8939.3134648353
Europe,1993,7175.123488021998
Oceania,1993,373.1564498819939
Asia,1993,6835.5848363106015
Africa,1994,493.4830704297
Americas,1994,9630.155308909998
Europe,1994,7615.02892156
Oceania,1994,393.44123112012005
Asia,1994,7685.666637197601
Africa,1995,555.3514112693999
Americas,1995,10160.7822100924
Europe,1995,8890.5724325287
Oceania,1995,447.61364530320986
Asia,1995,8855.143049106102
Africa,1996,592.2395896963001
Americas,1996,10776.3361276331
Europe,1996,9029.628523879002
Oceania,1996,487.72873006782
Asia,1996,8623.056033247904
Africa,1997,618.9636109234999
Americas,1997,11506.720972308898
Europe,1997,8293.554161936003
Oceania,1997,516.98146005084
Asia,1997,8289.859548980798
Africa,1998,612.7121004318
Americas,1998,11991.847960253499
Europe,1998,8520.167384216
Oceania,1998,469.99544336883
Asia,1998,7619.2861224398
Africa,1999,632.5816932347
Americas,1999,12380.6229095445
Europe,1999,8465.449770235
Oceania,1999,462.35084457986994
Asia,1999,8476.864497817296
Africa,2000,670.8634904447998
Americas,2000,13284.298971280998
Europe,2000,7783.7546344774
Oceania,2000,482.00816674735006
Asia,2000,9192.811023025497
Africa,2001,647.93503003249
Americas,2001,13559.473388320099
Europe,2001,7934.838300238001
Oceania,2001,442.7062174172199
Asia,2001,8623.297992006299
Africa,2002,663.4753417834702
Americas,2002,13711.0599294863
Europe,2002,8655.097586283999
Oceania,2002,477.4385359703199
Asia,2002,8792.958521980503
Africa,2003,802.9551104862999
Americas,2003,14409.1592151043
Europe,2003,10625.799713613998
Oceania,2003,573.5734419777401
Asia,2003,9745.565545929901
Africa,2004,970.5594261264998
Americas,2004,15609.2243525175
Europe,2004,12222.360934257003
Oceania,2004,738.2645958376099
Asia,2004,10999.69317313
Africa,2005,1145.2925580394
Americas,2005,17073.252319544798
Europe,2005,12824.034317858002
Oceania,2005,831.96450163749
Asia,2005,11984.045741634196
Africa,2006,1337.8821147221001
Americas,2006,18494.5079165793
Europe,2006,13720.014277972
Oceania,2006,885.72315559055
Asia,2006,12963.559258388601
Africa,2007,1558.0010418136003
Americas,2007,19879.3854368283
Europe,2007,15899.804690952002
Oceania,2007,1021.50974859863
Asia,2007,14831.988308361
Africa,2008,1830.7458434342
Americas,2008,20864.9921305368
Europe,2008,17633.463697518997
Oceania,2008,1221.7179020696603
Asia,2008,17080.392553109
Africa,2009,1742.9617544463001
Americas,2009,20146.8059058229
Europe,2009,15925.036891375996
Oceania,2009,1081.9124447858799
Asia,2009,17491.345844645995
Africa,2010,2030.4886687773
Americas,2010,21966.6169597375
Europe,2010,15870.132055782997
Oceania,2010,1330.6109236794102
Asia,2010,20487.330511076
Africa,2011,2231.3008069571
Americas,2011,23429.820930861202
Europe,2011,17300.939311315997
Oceania,2011,1608.5335395912803
Asia,2011,23472.43247967
Africa,2012,2387.8826406243
Americas,2012,24182.6882663095
Europe,2012,16187.283530842999
Oceania,2012,1768.5096161170702
Asia,2012,24930.353565976988
Africa,2013,2503.3453390085997
Americas,2013,24941.704204796202
Europe,2013,16910.534497443998
Oceania,2013,1813.9669524067494
Asia,2013,25214.774785446993
Africa,2014,2570.3443175601997
Americas,2014,25766.9926660583
Europe,2014,17196.258041525
Oceania,2014,1718.9699526386398
Asia,2014,26162.447611954
Africa,2015,2349.8552238082993
Americas,2015,24917.9552009155
Europe,2015,14885.772418076995
Oceania,2015,1575.4570794690899
Asia,2015,25856.810061214
Africa,2016,2226.4886760670006
Americas,2016,25280.734335053196
Europe,2016,15199.090118189002
Oceania,2016,1442.37499336944
Asia,2016,26934.083604608
Africa,2017,2261.1431095622006
Americas,2017,26753.795713702802
Europe,2017,16123.416416826001
Oceania,2017,1584.14432111269
Asia,2017,28878.47409388799
Africa,2018,2389.4902341176994
Americas,2018,27778.444185295204
Europe,2018,17468.127658428
Oceania,2018,1693.3696393102698
Asia,2018,30984.24004920801
Africa,2019,2489.1494511297
Americas,2019,28539.343272496702
Europe,2019,17177.37007452
Oceania,2019,1657.8658159254298
Asia,2019,31711.641387456
Africa,2020,2393.3102236668997
Americas,2020,27097.617906212603
Europe,2020,16730.906905726002
Oceania,2020,1579.2933875544002
Asia,2020,31188.803918523008
