Country Name,Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Unnamed: 65
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,6472.39870887477,7885.15892730063,9765.90920740626,11392.2691499861,12306.7176791493,13495.79430054,14045.4745656146,14938.6815734932,16239.9878515928,16439.3563609282,16583.8758560136,17927.9594391833,19077.6874273513,19355.3335357274,20617.7504673528,20670.3670051627,20436.8871286309,20833.976357295,22568.3749910043,23300.7383630907,24046.2263769373,25834.1117784233,27083.6348596914,24631.1820522439,23513.527696809,24985.0139185797,24712.4932628907,26441.6199357378,26893.0115056581,28396.9084228616,28452.1706146796,29350.8050189137,30253.2793580195,,,
Africa Eastern and Southern,AFE,147.612227356658,147.014903980571,156.189191718689,182.243917033772,162.347592147618,180.214907841495,190.845483562135,192.337166562156,204.007099368282,227.908615119165,236.793424648275,254.006969067464,268.131326739248,339.759795964428,410.118239816733,424.803180517585,411.513619258493,456.254185174561,496.090590819875,564.002951169701,688.555399290773,685.205277946091,641.783869594962,643.803760127544,571.447121239101,495.66462896974,542.428123553241,643.801620251485,657.347249119682,657.186356415773,696.98814539625,704.427088459081,683.336134465999,706.488038736633,702.415965784792,771.410097098471,747.841550124969,765.967485354054,703.091356249091,675.804263446166,713.245921054769,633.608788994641,631.870339558401,819.743981457504,993.762711096436,1129.80871033245,1237.11180175654,1382.86903874723,1442.16815788071,1412.11128439583,1634.44825309864,1770.73623014017,1736.16655986305,1713.89929866184,1703.59629838885,1549.03794037642,1431.7787234042,1573.06338581001,1574.97864775317,1530.05917655094,1359.61822418526,
Afghanistan,AFG,59.7732337032148,59.8608999923829,58.4580086983139,78.7064287776753,82.0953065340517,101.108325163758,137.594297961115,160.898434161304,129.108310965006,129.329760364199,156.518771348706,159.567508996258,135.317227981591,143.144649500081,173.653624742026,186.510838346447,197.445507551145,224.225001566116,247.354087806417,275.738115377232,272.655510200686,264.111197144336,,,,,,,,,,,,,,,,,,,,,179.426579211394,190.683814295088,211.382074198939,242.031313175022,263.733601866274,359.693157866109,364.6635420423,437.26874023514,543.306526178281,591.190030208565,638.845851607289,624.315454506615,614.223342360392,556.007220861443,512.012778129357,516.679862210543,485.668418729808,494.179349886029,516.747870807558,
Africa Western and Central,AFW,107.932233293366,113.081646612926,118.831106706209,123.442887950613,131.854401909578,138.526332388544,144.326212453632,128.582470199789,129.641106185266,143.715631573582,195.433564888654,169.119100472264,200.168407134048,241.711430329646,333.192493397619,377.788046952202,444.374421151956,454.790166433819,482.477486200178,584.373990532901,718.691848126908,1316.93170404015,1136.46243630013,815.900740280563,656.712783360308,651.510094102516,584.907219262827,584.119205546599,561.36145852303,510.419105485422,594.72600919977,558.435680915393,547.663092908291,445.656206211034,378.940492935927,462.864808608456,523.763526573847,515.234581172978,513.64255070099,528.577393652426,525.450342923443,539.335724366342,627.773944464993,706.955063040869,854.506836384316,1016.47597797202,1252.59514686795,1430.79640012068,1707.27226359303,1486.57265423522,1687.5519789005,1862.30826705039,1965.11848480873,2157.48114862974,2212.85313466307,1894.3101949536,1673.83552685464,1613.47355303429,1704.1396025899,1777.91867152634,1710.07336335627,
Angola,AGO,,,,,,,,,,,,,,,,,,,,,711.40957856021,642.768196831557,620.333123364606,623.815362351581,638.099006801712,758.745063152158,685.728127726666,756.767926189975,792.833017228347,891.149280264381,948.338177965671,,,,251.078348367302,398.79099821209,522.679624255226,514.385174425759,423.619048972815,387.785124062555,556.838631674927,527.333528536691,872.494441791273,982.96100777685,1255.56451325546,1902.42214975937,2599.56594793067,3121.99608528081,4080.94103372417,3122.7815987074,3587.88364462837,4615.46821863819,5100.09702685927,5254.88112606683,5408.41170002082,4166.97983330278,3506.07312818832,4095.8100568707,3289.64399476678,2809.62608839129,1776.16686789531,
Albania,ALB,,,,,,,,,,,,,,,,,,,,,,,,,639.484735848211,639.865909445734,693.873474633887,674.793383069492,652.774321396566,697.995596576519,617.230435515505,336.586994504629,200.852219772323,367.279225077581,586.416339644261,750.604449178826,1009.97727483821,717.380047745673,813.789396580449,1033.24253162418,1126.68334010717,1281.6598256178,1425.12421860142,1846.12012081207,2373.58129170055,2673.78658429559,2972.74292399799,3595.03805682893,4370.5399247769,4114.13489916342,4094.34838574494,4437.14261222684,4247.63004748194,4413.06200528903,4578.63320812155,3952.80253807527,4124.05538986272,4531.0193737689,5287.66369446913,5395.65953185375,5246.29230634793,
Andorra,AND,,,,,,,,,,,3238.69026097204,3496.5320229667,4218.27159918486,5342.16856044208,6320.80963168572,7169.10100559556,7151.24990940599,7751.84330741357,9127.81227979624,11818.4733427033,12378.7845111338,10372.786050001,9610.02061570912,8025.20764054036,7728.90669456943,7775.61421691636,10361.1477651737,12615.1261769143,14304.6405954742,15165.2812551732,18878.8523130643,19534.2636301538,20549.8055751695,16515.6583953924,16235.0680377239,18458.1739929996,19016.2881877293,18355.6278604321,18895.110661321,19262.3089910407,21854.2468030614,22970.5122133619,25067.2400639132,32272.8458909877,37966.1872524395,40064.2249292197,42674.7589681092,47804.8499340211,48719.6587699036,43504.2156523202,40850.2481432297,43334.8114127088,38686.4612635075,39540.7248137461,41303.9293714464,35770.7767044085,37475.6350587526,38964.904478265,41791.9698372411,40897.3308728669,,
Arab World,ARB,,,,,,,,,304.744134556008,322.840971021131,354.990993522411,398.972875588492,462.644301552063,571.079791870233,1052.50414711325,1129.76416267025,1363.32565753787,1524.6140001343,1619.541378412,2130.88181927739,2792.08723560397,2798.61564245004,2547.47353948494,2322.66693121469,2289.36965926551,2217.23049461166,2097.20663158055,2216.35965416765,2043.26042599289,2096.3014032513,2796.69997677968,1918.34632803723,2033.96393227758,2017.93857493807,2068.7784407055,2196.97888476788,2371.45260141837,2501.05075812259,2381.9948794472,2579.12206410332,2890.22767363068,2768.5021026583,2725.60975193031,2948.6326231101,3430.98290971819,4120.84215652095,4754.76885405143,5418.13476273827,6661.48406818295,5695.8876755181,6512.54155819275,6888.97941571698,7378.23188980297,7373.20167842865,7300.03021943052,6220.71663600231,5969.61659266763,5987.3419570748,6504.14849275027,6489.04321596317,5612.68656952782,
United Arab Emirates,ARE,,,,,,,,,,,,,,,,26848.0881760738,30117.9489330308,33823.1816606368,28457.0780342099,33512.6334236559,42764.5405564139,44987.5379901852,40025.8226237317,34843.1596263749,32309.8327132028,29720.8977184634,23467.8793176905,23726.3070493825,22295.1187062952,24028.2624976646,27729.3905933305,26612.253110068,26420.8598834079,25596.7393895625,25848.016250094,27221.9344117425,28975.0799572712,29512.6747918254,26899.601766231,28470.885858149,33291.3662541838,31280.7558649555,31567.5463066439,33499.1027760786,36333.1873330517,39365.4596409245,41907.4214695701,41809.4621626311,44498.9405069137,32024.1977823245,33893.2638727391,39194.672239975,40976.4907464015,42412.6395002704,43751.8056478669,38663.4005026605,38141.8671313451,40644.7911901772,43839.3244866903,42701.4430454782,36284.5552429552,
Argentina,ARG,,,1155.89071669257,850.304578624232,1173.23810525517,1279.11377848123,1272.80320401009,1062.54341227446,1141.08043154103,1329.058546189,1322.59063753874,1372.37417356256,1408.86537993108,2097.02283010295,2844.86331235351,2027.33720222659,1948.22468587272,2129.70836077888,2146.36495899265,2520.92071606516,2758.83481652658,2776.32208825139,2927.89735685135,3553.37750879684,2659.70824247007,2926.12648531698,3613.62170927636,3562.87605875248,3985.19246874962,2383.86747065533,4333.48337168025,5735.3599805848,6823.53883710424,6969.11972904571,7483.14033425721,7408.70866363112,7721.35410460355,8213.12512693705,8289.5075682025,7774.73620280001,7708.09911454041,7208.37311355372,2593.404563368,3349.80630031036,4277.72157290954,5109.85224490403,5919.01233837714,7245.44685667197,9020.87332314274,8225.13758261645,10385.9644319555,12848.8641969705,13082.664325572,13080.2547323367,12334.7982453893,13789.060424772,12790.2424732447,14613.041824658,11795.1593866287,10056.637940265,8579.01777315683,
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,637.85592120941,590.505875579775,369.707232276548,357.202848575393,400.515593762192,456.374933276273,504.059842642233,523.284410700367,609.17165368466,597.432898792278,622.740922945281,694.423455373229,783.241214960091,930.125472654125,1191.92100563238,1643.75688889146,2158.1480742298,3139.28071035448,4010.86138084833,2994.34047090816,3218.37829927419,3525.80719813557,3681.84469060495,3838.17387997786,3986.23162376713,3607.28929855361,3591.82805221639,3914.52785436696,4220.54032079145,4604.64632355695,4266.01807420946,
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8666.65538195914,8807.46281200101,8528.24877689163,8395.31877025371,8340.52343974691,8874.87792759607,9740.82449121586,11910.013233348,10216.8176306968,10223.2983588916,11496.5240977923,11450.7241954879,11525.1563872309,12059.6351646776,12038.2496994923,11003.8297642807,11521.6097798453,11715.3601388487,12844.9009909959,
Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,1246.69015964261,1416.54053131116,1760.83132448003,2124.61852648141,2392.68695794469,2660.55809143556,2948.31727549755,3372.60207005529,3899.39183968301,4703.17940118439,5463.59538268844,6454.83545091774,7076.53633490604,7347.64636864328,7602.34533414465,7745.72179961652,8136.18854727449,8771.14372746878,8406.35894515205,9030.5749776224,9491.66076559497,9940.85222769034,10260.5994054155,10872.2929515751,10367.3196068161,10401.0508759034,10797.9510571837,11446.9691417182,12557.5478500769,13995.8044243845,15622.6928710238,16044.1057963132,14160.5620007335,13048.9605816199,12746.6334682021,13272.7349447294,12910.5906255945,13501.5809223367,14285.3297773091,15198.7429664112,15383.5763979856,16679.5916624545,17376.6496765004,13992.7444804497,
Australia,AUS,1810.61923013403,1877.6166377325,1854.65683385421,1967.11653731032,2131.37794817925,2281.09879668523,2343.99529013149,2580.27109571187,2724.37251931884,2991.60719792911,3305.12639431046,3495.57929420671,3950.17089391811,4771.6719859735,6484.11987233886,7005.90658757798,7489.59416032812,7778.16400801462,8255.74454303408,9297.33341717362,10211.8371887909,11854.5884953898,12788.5492901209,11538.3984187095,12454.5517172396,11459.179567837,11384.9382387646,11645.4525939389,14279.1594387946,17828.0482329023,18243.4714183672,18855.7619964202,18604.1882699613,17667.1870997502,18079.3801793746,20358.3333563413,21904.2941177592,23509.4234684514,21345.9709868552,20558.9604021981,21697.7084797731,19527.3235767954,20117.7888912664,23492.4051742272,30513.9417409748,34080.9998953245,36117.487983674,41001.1429790999,49654.9105957389,42783.3225651148,52087.9722888891,62574.1457032412,68027.8417067378,68156.6279162085,62511.6905895284,56707.0220772116,49881.7637140466,53934.2501750463,57180.7794001614,54875.2859563351,51692.8427477695,
Austria,AUT,935.460426850415,1031.8150043291,1087.8342434189,1167.00053244585,1269.41258289256,1374.53213986075,1486.96860600566,1569.66718289967,1677.67352804272,1825.38612552124,2058.76905087549,2380.97845801742,2924.04887899105,3890.72241941969,4630.75719737956,5285.62072414121,5678.38665810018,6810.62768469634,8205.4689771504,9793.76534815017,10869.5464940526,9385.24906398343,9410.34725652989,9537.40742043378,8991.06503963026,9172.09676001833,13083.0726621044,16392.7695234749,17578.6189397397,17468.9461372569,21680.989623313,22410.9117666654,24880.1641180361,24081.5277928004,25646.7006591684,30325.8495818396,29809.0767730821,26705.4785993891,27361.8751106437,27174.2971559775,24564.4582948404,24537.5142629883,26401.7454564357,32222.8972411655,36821.5214680093,38403.1338770715,40635.2818159724,46855.7717452095,51708.7657541758,47963.1794023217,46858.0432733717,51374.9584066934,48567.69528642,50716.7087062864,51717.4959405515,44178.0473777432,45276.8314351693,47312.0062332199,51461.4332150082,50114.4011099728,48586.8013213238,
Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.4582135796365,209.478571809788,157.086059054548,314.561226313624,409.163189106479,505.500349333104,561.906807871869,573.916512334089,655.119945170816,703.683843432722,763.080637985358,883.733971498452,1045.00937916805,1578.40239029603,2473.08181863536,3851.43786871172,5574.60380218613,4950.29479142375,5843.5337683582,7189.69122920765,7496.29464768263,7875.75695254288,7891.31314749986,5500.31038244408,3880.73873089556,4147.08971569171,4739.84171028393,4805.75371765917,4221.40747847848,
